year,reporter_region,partner_region,total_value_kusd,region_total,import_share_pct
2019,East Asia & Pacific,East Asia & Pacific,1241220996.7557578,2146476219.3828053,57.82598407322009
2019,East Asia & Pacific,Europe & Central Asia,495615848.32863176,2146476219.3828053,23.08974326634471
2019,East Asia & Pacific,Latin America & Caribbean,52355930.80642326,2146476219.3828053,2.4391572724471
2019,East Asia & Pacific,"Middle East, North Africa, Afghanistan & Pakistan",44168791.72681563,2146476219.3828053,2.0577349671041714
2019,East Asia & Pacific,North America,252970897.7077578,2146476219.3828053,11.785404162571933
2019,East Asia & Pacific,South Asia,29654541.56818866,2146476219.3828053,1.3815453113529246
2019,East Asia & Pacific,Sub-Saharan Africa,30489212.489230327,2146476219.3828053,1.4204309469590652
2019,Europe & Central Asia,East Asia & Pacific,956230536.8047955,4772887265.5384,20.03463487832724
2019,Europe & Central Asia,Europe & Central Asia,3148826460.379605,4772887265.5384,65.97319997719254
2019,Europe & Central Asia,Latin America & Caribbean,66476951.31980056,4772887265.5384,1.3928037186166748
2019,Europe & Central Asia,"Middle East, North Africa, Afghanistan & Pakistan",99535288.36170137,4772887265.5384,2.0854313714965445
2019,Europe & Central Asia,North America,371598201.611899,4772887265.5384,7.785606089943576
2019,Europe & Central Asia,South Asia,86218051.16750266,4772887265.5384,1.8064128979123695
2019,Europe & Central Asia,Sub-Saharan Africa,44001775.89309548,4772887265.5384,0.9219110665110568
2019,Latin America & Caribbean,East Asia & Pacific,216495190.53522,563511818.03912,38.4189263835795
2019,Latin America & Caribbean,Europe & Central Asia,102394025.93183,563511818.03912,18.170697162685173
2019,Latin America & Caribbean,Latin America & Caribbean,37901777.2691,563511818.03912,6.725995099976553
2019,Latin America & Caribbean,"Middle East, North Africa, Afghanistan & Pakistan",7006975.3479700005,563511818.03912,1.2434478077766886
2019,Latin America & Caribbean,North America,187503529.34722,563511818.03912,33.27410771963672
2019,Latin America & Caribbean,South Asia,10591880.10884,563511818.03912,1.8796198712738788
2019,Latin America & Caribbean,Sub-Saharan Africa,1618439.4989399998,563511818.03912,0.28720595507149504
2019,"Middle East, North Africa, Afghanistan & Pakistan",East Asia & Pacific,70583619.6689537,207171150.43110535,34.07019728474513
2019,"Middle East, North Africa, Afghanistan & Pakistan",Europe & Central Asia,81686859.97346151,207171150.43110535,39.42965022083344
2019,"Middle East, North Africa, Afghanistan & Pakistan",Latin America & Caribbean,2492914.755486286,207171150.43110535,1.203311730566126
2019,"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",19216659.98132861,207171150.43110535,9.275741309222058
2019,"Middle East, North Africa, Afghanistan & Pakistan",North America,24538257.73330521,207171150.43110535,11.844437645996175
2019,"Middle East, North Africa, Afghanistan & Pakistan",South Asia,7644664.676902303,207171150.43110535,3.690023761027736
2019,"Middle East, North Africa, Afghanistan & Pakistan",Sub-Saharan Africa,1008173.6416677245,207171150.43110535,0.4866380476093326
2019,North America,East Asia & Pacific,981504364.342133,2494061739.497232,39.35365146734461
2019,North America,Europe & Central Asia,599332423.9398,2494061739.497232,24.03037641163675
2019,North America,Latin America & Caribbean,408085225.863559,2494061739.497232,16.362274413696884
2019,North America,"Middle East, North Africa, Afghanistan & Pakistan",40727666.944932,2494061739.497232,1.6329855151517672
2019,North America,North America,387747658.274217,2494061739.497232,15.546834792966333
2019,North America,South Asia,65641643.699907,2494061739.497232,2.6319173523402606
2019,North America,Sub-Saharan Africa,11022756.432684,2494061739.497232,0.4419600468633962
2019,South Asia,East Asia & Pacific,152092872.24639037,296311112.536662,51.32877769731712
2019,South Asia,Europe & Central Asia,69263607.26445068,296311112.536662,23.375298574359352
2019,South Asia,Latin America & Caribbean,6806806.0805937555,296311112.536662,2.297182182039009
2019,South Asia,"Middle East, North Africa, Afghanistan & Pakistan",28782410.515816815,296311112.536662,9.713577823462705
2019,South Asia,North America,27187009.53035885,296311112.536662,9.175156914506557
2019,South Asia,South Asia,2163529.0846483484,296311112.536662,0.7301545548281316
2019,South Asia,Sub-Saharan Africa,10014877.814403156,296311112.536662,3.3798522534871296
2019,Sub-Saharan Africa,East Asia & Pacific,63566322.40841711,161952435.07141873,39.2499948397721
2019,Sub-Saharan Africa,Europe & Central Asia,51741664.696660034,161952435.07141873,31.94867966872044
2019,Sub-Saharan Africa,Latin America & Caribbean,2623986.414988631,161952435.07141873,1.6202204146121606
2019,Sub-Saharan Africa,"Middle East, North Africa, Afghanistan & Pakistan",7674151.178630349,161952435.07141873,4.738521637693287
2019,Sub-Saharan Africa,North America,13115434.361392468,161952435.07141873,8.098324891261282
2019,Sub-Saharan Africa,South Asia,13468777.906162314,161952435.07141873,8.316502249702374
2019,Sub-Saharan Africa,Sub-Saharan Africa,9762098.105167832,161952435.07141873,6.0277562982383595
2020,East Asia & Pacific,East Asia & Pacific,1227893983.4666753,2091132738.7608244,58.71908371509251
2020,East Asia & Pacific,Europe & Central Asia,480271052.55866987,2091132738.7608244,22.96702852269778
2020,East Asia & Pacific,Latin America & Caribbean,53800645.45208925,2091132738.7608244,2.5727991559240158
2020,East Asia & Pacific,"Middle East, North Africa, Afghanistan & Pakistan",41608219.45493344,2091132738.7608244,1.989745494568168
2020,East Asia & Pacific,North America,233073325.62848622,2091132738.7608244,11.145792962268008
