reporter_region,partner_region,share_2019,share_2023,share_change_pct,share_change_abs
Sub-Saharan Africa,East Asia & Pacific,39.2499948397721,45.87028351071281,6.62028867094071,6.62028867094071
Sub-Saharan Africa,Europe & Central Asia,31.94867966872044,26.32216660797273,-5.626513060747712,5.626513060747712
"Middle East, North Africa, Afghanistan & Pakistan",East Asia & Pacific,34.07019728474513,37.39927976411154,3.329082479366413,3.329082479366413
"Middle East, North Africa, Afghanistan & Pakistan",North America,11.844437645996175,9.475072523621192,-2.369365122374983,2.369365122374983
"Middle East, North Africa, Afghanistan & Pakistan",Europe & Central Asia,39.42965022083344,37.06801900706386,-2.361631213769577,2.361631213769577
South Asia,Europe & Central Asia,23.375298574359352,21.30123242988773,-2.0740661444716224,2.0740661444716224
North America,East Asia & Pacific,39.35365146734461,37.319478804886906,-2.0341726624577063,2.0341726624577063
Latin America & Caribbean,North America,33.27410771963672,31.706754759332956,-1.5673529603037615,1.5673529603037615
South Asia,East Asia & Pacific,51.32877769731712,52.60124335800834,1.2724656606912177,1.2724656606912177
"Middle East, North Africa, Afghanistan & Pakistan",South Asia,3.690023761027736,4.884154046323597,1.194130285295861,1.194130285295861
South Asia,North America,9.175156914506557,7.991234057768478,-1.1839228567380786,1.1839228567380786
South Asia,Sub-Saharan Africa,3.3798522534871296,4.546036720477767,1.1661844669906376,1.1661844669906376
Sub-Saharan Africa,Sub-Saharan Africa,6.0277562982383595,4.882313725998315,-1.1454425722400448,1.1454425722400448
North America,Latin America & Caribbean,16.362274413696884,17.439446542643086,1.0771721289462022,1.0771721289462022
Sub-Saharan Africa,South Asia,8.316502249702374,7.278960226900081,-1.0375420228022936,1.0375420228022936
East Asia & Pacific,Europe & Central Asia,23.08974326634471,23.943218977901388,0.8534757115566798,0.8534757115566798
East Asia & Pacific,East Asia & Pacific,57.82598407322009,56.997122698707045,-0.8288613745130462,0.8288613745130462
Latin America & Caribbean,Latin America & Caribbean,6.725995099976553,7.456291072153659,0.7302959721771058,0.7302959721771058
East Asia & Pacific,North America,11.785404162571933,11.067639078150382,-0.7177650844215506,0.7177650844215506
East Asia & Pacific,Latin America & Caribbean,2.4391572724471,3.07283878639086,0.6336815139437602,0.6336815139437602
Europe & Central Asia,Europe & Central Asia,65.97319997719254,65.35097381531233,-0.6222261618802065,0.6222261618802065
Sub-Saharan Africa,"Middle East, North Africa, Afghanistan & Pakistan",4.738521637693287,5.279575291183645,0.5410536534903576,0.5410536534903576
North America,South Asia,2.6319173523402606,3.118611741001814,0.48669438866155357,0.48669438866155357
Latin America & Caribbean,East Asia & Pacific,38.4189263835795,38.8789010466679,0.45997466308839563,0.45997466308839563
Sub-Saharan Africa,North America,8.098324891261282,8.521451845725975,0.42312695446469384,0.42312695446469384
North America,Europe & Central Asia,24.03037641163675,24.432335256507574,0.4019588448708227,0.4019588448708227
South Asia,Latin America & Caribbean,2.297182182039009,2.6894784018843283,0.39229621984531926,0.39229621984531926
South Asia,"Middle East, North Africa, Afghanistan & Pakistan",9.713577823462705,10.091579336868378,0.3780015134056729,0.3780015134056729
Latin America & Caribbean,South Asia,1.8796198712738788,2.1790404157263397,0.2994205444524609,0.2994205444524609
Europe & Central Asia,"Middle East, North Africa, Afghanistan & Pakistan",2.0854313714965445,2.3471275161631495,0.26169614466660507,0.26169614466660507
Europe & Central Asia,East Asia & Pacific,20.03463487832724,20.280219078504878,0.24558420017763893,0.24558420017763893
Latin America & Caribbean,"Middle East, North Africa, Afghanistan & Pakistan",1.2434478077766886,1.4831814916870851,0.2397336839103965,0.2397336839103965
Sub-Saharan Africa,Latin America & Caribbean,1.6202204146121606,1.84524879150645,0.22502837689428934,0.22502837689428934
North America,Sub-Saharan Africa,0.4419600468633962,0.6600991927824132,0.21813914591901706,0.21813914591901706
Latin America & Caribbean,Europe & Central Asia,18.170697162685173,17.99318785964661,-0.17750930303856194,0.17750930303856194
Europe & Central Asia,South Asia,1.8064128979123695,1.9713193936957478,0.16490649578337835,0.16490649578337835
"Middle East, North Africa, Afghanistan & Pakistan",Sub-Saharan Africa,0.4866380476093326,0.6428761306642954,0.15623808305496278,0.15623808305496278
East Asia & Pacific,Sub-Saharan Africa,1.4204309469590652,1.5759868111795423,0.15555586422047707,0.15555586422047707
"Middle East, North Africa, Afghanistan & Pakistan",Latin America & Caribbean,1.203311730566126,1.2998988330613963,0.09658710249527025,0.09658710249527025
North America,North America,15.546834792966333,15.452430242863507,-0.09440455010282633,0.09440455010282633
Europe & Central Asia,North America,7.785606089943576,7.708897866361833,-0.07670822358174245,0.07670822358174245
North America,"Middle East, North Africa, Afghanistan & Pakistan",1.6329855151517672,1.5775982193146922,-0.05538729583707491,0.05538729583707491
East Asia & Pacific,South Asia,1.3815453113529246,1.3286194453509617,-0.05292586600196292,0.05292586600196292
South Asia,South Asia,0.7301545548281316,0.7791956951049682,0.04904114027683659,0.04904114027683659
Europe & Central Asia,Latin America & Caribbean,1.3928037186166748,1.4382989956715277,0.0454952770548529,0.0454952770548529
"Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan",9.275741309222058,9.23069969515411,-0.04504161406794793,0.04504161406794793
East Asia & Pacific,"Middle East, North Africa, Afghanistan & Pakistan",2.0577349671041714,2.014574202319829,-0.04316076478434239,0.04316076478434239
Europe & Central Asia,Sub-Saharan Africa,0.9219110665110568,0.9031633342905302,-0.018747732220526614,0.018747732220526614
Latin America & Caribbean,Sub-Saharan Africa,0.28720595507149504,0.30264335478544346,0.015437399713948419,0.015437399713948419
