sector_name,corr_hhi_lpi,corr_hhi_infra,n_obs
Footwear & headwear,-0.6920210556639321,-0.6490218287485416,186
Stone & glass,-0.6192332074721211,-0.5886208002165538,186
Hides & leather,-0.6138835174868249,-0.5652179755944795,186
Miscellaneous manufactures,-0.46073984428929726,-0.41725240237621025,186
Textiles & clothing,-0.4447002075000479,-0.3792546702066443,186
Machinery & electronics,-0.2841689260484141,-0.2614297751796546,186
Metals,-0.26849687397868066,-0.22525015129990178,186
Transport equipment,-0.13524999600810678,-0.1185948051674897,186
Chemicals,-0.07667960486912978,-0.06937651499768997,186
Plastics & rubber,-0.06809892489604202,-0.02781870681666701,186
Wood pulp & paper,-0.013125355235706305,-3.8501205429024597e-4,186
