variable,avg_hhi,avg_cr3,avg_distance,lpi_score,customs,infrastructure,logistics_quality,tracking_tracing,timeliness,gvc_participation
avg_hhi,1,0.9465913963662479,0.44359021812071636,-0.4736383091505503,-0.42303331508661135,-0.4324204176114381,-0.4484820831004373,-0.4354286514766353,-0.45492358719413944,-0.2452918142524416
avg_cr3,0.9465913963662479,1,0.517411046897646,-0.3802653464688057,-0.3308603348533291,-0.35309239312781265,-0.3515258845045211,-0.3435033234953991,-0.36342775941060995,-0.08940967427108834
avg_distance,0.44359021812071636,0.517411046897646,1,-0.10746900957961299,-0.0801254918604278,-0.05294403446111773,-0.09319360369101841,-0.05062416206616507,-0.11723638420965204,-0.38391487626068355
lpi_score,-0.4736383091505503,-0.3802653464688057,-0.10746900957961299,1,0.967384671732822,0.967005422959171,0.985402734780732,0.9781858795303727,0.9510338711691346,0.5019323043653576
customs,-0.42303331508661135,-0.3308603348533291,-0.0801254918604278,0.967384671732822,1,0.9621412211796218,0.955618236100789,0.9366870179655763,0.8825805757492429,0.47271966606929716
infrastructure,-0.4324204176114381,-0.35309239312781265,-0.05294403446111773,0.967005422959171,0.9621412211796218,1,0.9581278213015471,0.9420056384100854,0.8852340221580667,0.42875153546534267
logistics_quality,-0.4484820831004373,-0.3515258845045211,-0.09319360369101841,0.985402734780732,0.955618236100789,0.9581278213015471,1,0.9597113067041081,0.9238949595032532,0.5140698435325858
tracking_tracing,-0.4354286514766353,-0.3435033234953991,-0.05062416206616507,0.9781858795303727,0.9366870179655763,0.9420056384100854,0.9597113067041081,1,0.9329911717631241,0.45006665199287077
timeliness,-0.45492358719413944,-0.36342775941060995,-0.11723638420965204,0.9510338711691346,0.8825805757492429,0.8852340221580667,0.9238949595032532,0.9329911717631241,1,0.5347141195390179
gvc_participation,-0.2452918142524416,-0.08940967427108834,-0.38391487626068355,0.5019323043653576,0.47271966606929716,0.42875153546534267,0.5140698435325858,0.45006665199287077,0.5347141195390179,1
