reporter_iso3,reporter_name,year,avg_hhi,avg_cr3,avg_distance,total_imports,lpi_score,customs,infrastructure,logistics_quality,tracking_tracing,timeliness,gvc_participation
AGO,Angola,2019,0.20510541637974952,0.6352275970248764,7132.754952305247,9095246.841817,2.05,1.57,1.86,2,2,2.59,NA
AGO,Angola,2020,0.16807154765957372,0.5874965063402408,7071.33176975945,6189199.256557,2.1,1.7,2.1,2.3,2.3,2.1,NA
AGO,Angola,2021,0.19157647802063507,0.5877187595456403,7151.016508688784,7300732.850511,2.1,1.7,2.1,2.3,2.3,2.1,NA
AGO,Angola,2022,0.1965990283249304,0.6163948480682033,7125.0011452095805,10530356.534576,2.1,1.7,2.1,2.3,2.3,2.1,NA
AGO,Angola,2023,0.17389799215335067,0.5835835295694354,7192.799847211612,9837640.863335,2.1,1.7,2.1,2.3,2.3,2.1,NA
ARG,Argentina,2019,0.20263213014058706,0.6190005766207339,11362.78306949807,40084651.66873,2.89,2.42,2.77,2.78,3.05,3.37,55
ARG,Argentina,2020,0.21339178805092482,0.6276030099618694,11435.966436327739,34660072.74674,2.8,2.7,2.8,2.7,2.9,3.1,55
ARG,Argentina,2021,0.20463710359061849,0.6236332537819097,11355.52075743049,49903279.97164,2.8,2.7,2.8,2.7,2.9,3.1,NA
ARG,Argentina,2022,0.22441988227976137,0.651891883758656,11401.973780487804,61047924.5504,2.8,2.7,2.8,2.7,2.9,3.1,NA
ARG,Argentina,2023,0.2221773655165218,0.6427092006549187,11320.13893865628,55727102.19779,2.8,2.7,2.8,2.7,2.9,3.1,NA
AUS,Australia,2019,0.20788988826581623,0.6099003397806196,11647.797477419355,167186620.08182335,3.75,3.87,3.97,3.71,3.82,3.98,62
AUS,Australia,2020,0.2204831925350667,0.6158039633671492,11768.67182239894,168840314.29604208,3.7,3.7,4.1,3.9,4.1,3.6,62
AUS,Australia,2021,0.21229219359812135,0.6022532259259987,11712.994124839124,204512904.65770173,3.7,3.7,4.1,3.9,4.1,3.6,NA
AUS,Australia,2022,0.21188972137048184,0.6027341068814029,11765.225244134432,228660502.07221484,3.7,3.7,4.1,3.9,4.1,3.6,NA
AUS,Australia,2023,0.19829973532574977,0.5993346671033006,11684.731411992263,216322627.383592,3.7,3.7,4.1,3.9,4.1,3.6,NA
AUT,Austria,2019,0.15729234605755074,0.544507749475301,5693.01942408377,145769747.0726409,4.03,3.71,4.18,4.08,4.09,4.25,75
AUT,Austria,2020,0.16522862653587847,0.5636144356222588,5719.492473867595,137766665.19341275,4,3.7,3.9,4,4.2,4.3,75
AUT,Austria,2021,0.15690972985094995,0.5550591532117637,5771.787387133183,173811343.426009,4,3.7,3.9,4,4.2,4.3,NA
AUT,Austria,2022,0.15161225165978698,0.5499950627935601,5925.605517057569,176598648.784171,4,3.7,3.9,4,4.2,4.3,NA
AUT,Austria,2023,0.1501744980216522,0.5419477410466842,5950.94970713525,176645806.837435,4,3.7,3.9,4,4.2,4.3,NA
