reporter_iso3,reporter_name,total_imports,avg_hhi,avg_cr3,lpi_score,top_partner
ZAF,South Africa,75735854.013537,0.18937800092166746,0.5600697324367365,3.7,CHN
NGA,Nigeria,35760039.111486,0.33428446138261614,0.7073205075185107,2.6,CHN
ETH,Ethiopia,11958680.126712,0.40757788749006907,0.7652432027486317,NA,CHN
TZA,Tanzania,10311967.011719,0.28748861421081945,0.6503146711264223,NA,CHN
CIV,Côte d'Ivoire,10036667.53562,0.1644305637414857,0.5299701435858071,NA,CHN
KEN,Kenya,9964819.165812,0.2428421241647994,0.6218187439259096,NA,CHN
AGO,Angola,9837640.863335,0.17389799215335067,0.5835835295694354,2.1,CHN
GHA,Ghana,8257944.004931,0.198636990222168,0.587252548168348,2.5,CHN
MOZ,Mozambique,6044882,0.19496240416568225,0.6651581385522684,NA,CHN
SEN,Senegal,5900655.1240489995,0.1450942793219079,0.5162690896336954,NA,CHN
CMR,Cameroon,4212405.214569,0.20726659409152642,0.5923496858318024,2.1,CHN
