partner_region,partner_name,total_value,share_pct
East Asia & Pacific,China,57343581.863887,30.49840860878103
North America,United States,14992168.743502,7.973643665239397
South Asia,India,13358252.704439,7.104639020394098
Europe & Central Asia,Germany,11478934.975188,6.105116525470926
East Asia & Pacific,Singapore,10243833.160083,5.448222787651562
East Asia & Pacific,Japan,5938399.67291,3.1583611246425947
Europe & Central Asia,France,5035710.149333,2.6782621660134502
Europe & Central Asia,Italy,4859590.20725,2.5845920850172557
Europe & Central Asia,United Kingdom,4090917.8454899997,2.1757706787981754
East Asia & Pacific,Thailand,3678780.0605840003,1.9565735836983849
Sub-Saharan Africa,South Africa,3641633.741522,1.9368171684163025
"Middle East, North Africa, Afghanistan & Pakistan",United Arab Emirates,3380276.214497,1.7978131440233156
Europe & Central Asia,Spain,2925151.446872,1.5557532537996588
East Asia & Pacific,South Korea,2646427.659772,1.4075129159683015
Europe & Central Asia,Turkey,2548445.27496,1.3554006008437887
Europe & Central Asia,Belgium,2399132.688685,1.2759881170289844
Europe & Central Asia,Netherlands,2188149.08192,1.1637756594230586
Europe & Central Asia,Portugal,2146621.053544,1.1416888148807243
"Middle East, North Africa, Afghanistan & Pakistan",Saudi Arabia,1813313.465782,0.964417868881894
Europe & Central Asia,Sweden,1645598.42176,0.8752179658384475
Latin America & Caribbean,Brazil,1623845.810662,0.86364875442871325
East Asia & Pacific,Indonesia,1611557.196371,0.8571130067879009
"Middle East, North Africa, Afghanistan & Pakistan",Morocco,1427014.3343500001,0.7589631628330915
East Asia & Pacific,Vietnam,1330780.678506,0.7077809160593602
Europe & Central Asia,Poland,1202954.310546,0.6397959616092858
Sub-Saharan Africa,Eswatini,1146430.47425,0.609733537891438
"Middle East, North Africa, Afghanistan & Pakistan",Egypt,1108169.739549,0.5893844162869829
East Asia & Pacific,Australia,1088560.5085459999,0.578955169975634
East Asia & Pacific,Malaysia,993144.987118,0.5282080511953948
Europe & Central Asia,Switzerland,970169.699992,0.5159885547513805
Europe & Central Asia,Austria,964134.188301,0.5127785442195635
North America,Canada,956165.566396,0.5085404014491233
Latin America & Caribbean,Mexico,954780.65327,0.5078038299788467
Europe & Central Asia,Czechia,913028.087326,0.4855975642515374
Europe & Central Asia,Finland,884593.578157,0.4704745591821169
Sub-Saharan Africa,Namibia,800814.802253,0.42591648908582214
